Battle,Date,Date1,Date2_1,Latitude,Longitude,Dead_or_Wounded_high,French Belligerent,Allied Belligerent,French Commander,Allied Commander,Outcome,Dead_low,Dead_high,Wounded_low,Wounded_high,Dead_or_Wounded_low,Executed,Notes,Day1,Month1,Year1,Day2,Month2,Year2
Siege of Toulon,29 August ? 19 December 1793,29/08/1793,19/12/1793,43.13,5.92,6300,French Republic,"Great Britain, 
Toulon Royalists,,Kingdom of Sicily, Kingdom of Naples, Kingdom of Sardinia","Napoleon Bonaparte, 
Jean François Carteaux, 
Jacques Francois Dugommier","Samuel Hood, 
Charles O'Hara,
Lord Mulgrave,
Sidney Smith, 
Juan de Langara","French Victory, British-led Allied Army departs Toulon as city falls back into republican control",,,,,,,,29,8,1793,19,12,1793
Second Battle of Saorgio,24 to 28 April 1794,24/04/1794,28/04/1794,43.9883,7.5531,4300,French Republic,"Kingdom of Sardinia, Hapsburg Austria","Napoleon Bonaparte, Andre Massena","Joseph Nikolaus de Vins, Michelangelo Alessandro Colli-Marchi",French Victory,,,,,,,,24,4,1794,28,4,1794
13 Vendémiaire,October 5th 1794,05/10/1794,05/10/1794,48.856667,2.350987,402,French Republic,French Royalists,"Napoleon Bonaparte, Paul Barras, Guillaume Brune",Richer de Sevigny,"Republican Victory, Napoleon disperses the mob and the government saved",,,,,,2,,5,10,1794,,,
Battle of Montenotte,April 11 & 12 1796,11/04/1796,12/04/1796,44.4,8.2667,3380,French Republic,"Austrian Empire, Kingdom of Sardinia","Napoleon Bonaparte, Andre Massena","Mathias Rukavina von Boynograd, Eug穫e-Guillaume Argenteau",French Victory,,,,,,,,11,4,1796,12,4,1796
Battle of Millesimo,April 13th &14th 1796,13/04/1796,14/04/1796,44.366667,8.2,1850,French Republic,"Austrian Empire, Kingdom of Sardinia","Napoleon Bonaparte, Pierre Augereau",Giovanni di Provera,French Victory,,,,,850,,,13,4,1796,14,4,1796
Second Battle of Dego,April 14th-15th 1796,14/04/1796,15/04/1796,44.45,8.3167,7195,French Republic,"Austrian Empire, Kingdom of Sardinia","Napoleon Bonaparte, Andre Massena",Eugène-Guillaume Argenteau Josef Vukasovich,French Victory,,1291,,1404,4500,,Dead_or_Wounded_low indicates casualties on April 14. Dead_or_Wounded_high indicates cumilative casualties for April 14 and April 15.,14,4,1796,15,4,1796
Battle of Ceva,"April 16th, 1796",16/04/1796,16/04/1796,44.383333,8.033333,750,French Republic,Kingdom of Sardinia,"Pierre Augereau, Napoleon Bonaparte",Michelangelo Alessandro Colli-Marchi,French Victory,,,,,,,,16,4,1796,,,
Battle of Mondovi,April 20-22nd 1796,20/04/1796,22/04/1796,44.3833,7.8167,2200,French Republic,Kingdom of Sardinia,"Napoleon Bonaparte, Jean-Mathieu-Philibert SＳurier",Michelangelo Alessandro Colli-Marchi,"French Victory, Napoleon forces Sardinia-Piedmont out of the First Coalition",,,,,,,,20,4,1796,22,4,1796
Battle of Fombio,May 7-9 1796,07/05/1796,09/05/1796,45.15,9.7,2018,French Republic,Austrian Empire,[Napoleon Bonaparte,Johann Peter Beaulieu,French Victory,,,,,,,,7,5,1796,9,5,1796
Battle of Lodi,"May 10th, 1796",10/05/1796,10/05/1796,45.3167,9.5,4221,French Republic,Austrian Empire,Napoleon Bonaparte,Johann Peter Beaulieu,"French victory, Napoleon famed as a hero",,,,,3571,,,10,5,1796,,,
Battle of Borghetto,"May 30th, 1796",30/05/1796,30/05/1796,45.35,10.7333,1072,French Republic,Austrian Empire,Napoleon Bonaparte,Johann Peter Beaulieu,French Victory,,,,,,,,30,5,1796,,,
Siege of Mantua,July 4 1796 to February 2nd 1797,04/07/1796,02/02/1797,45.16,10.8,25000,French Republic,Austrian Empire,"Napoleon Bonaparte, Jean-Mathieu-Philibert SＳurier",Dagobert Sigmund von Wurmser,"French victory, SＳurier accepts the surrender after a long siege",,,,,,,,4,7,1796,2,2,1797
Battle of Lonato,"August 3rd, 1796",03/08/1796,04/08/1796,45.461111,10.484444,7000,French Republic,Austrian Empire,Napoleon Bonaparte,Peter Quasindanovich,"French Victory, Entire Austrian column destroyed",,,,,,,,3,8,1796,4,8,1796
Battle of Castiglione,August 5th 1796,05/08/1796,05/08/1796,45.383333,10.483333,4300,French Republic,Austrian Empire,"Napoleon Bonaparte, Pierre Augereau, Andre Massena",Dagobert Sigmund von Wurmser,"French Victory, Napoleon made even more famous",,,,,,,,5,8,1796,,,
Battle of Rovereto,"September 4th, 1796",04/09/1796, ,45.8833,11.05,6750,French Republic,Austrian Empire,Napoleon Bonaparte,Paul Davidovich,French Victory,,,,,,,,4,9,1796,,,
Battle of Bassano,"September 8th, 1796",08/09/1796,08/09/1796,45.7667,11.7333,1000,French Republic,Austrian Empire,"Napoleon Bonaparte, Jean Lannes",Dagobert Sigmund von Wurmser,"French victory, lots of Austrian supplies and artillery captured",,,,,,,,8,9,1796,,,
Battle of Arcole,November 15-17th 1796,15/11/1796,17/11/1796,45.357222,11.2775,5700,French Republic,Austrian Empire,"Napoleon Bonaparte, Jean Lannes",Jozef Alvincizi,French Victory,,,,,,,,15,11,1796,17,11,1796
Battle of Rivoli,January 14-15 1797,14/01/1797,15/01/1797,45.5667,10.8167,19000,French Republic,Austrian Empire,"Napoleon Bonaparte, Andre Massena","Jozef Alvincizi, Peter von Quassidovich, Josef Phillip Vukasovich",French Victory,,,,,15200,,,14,1,1797,15,1,1797
