Battle,Date,Date1,Date2_1,Latitude,Longitude,Dead_or_Wounded_high,Outcome,Dead_low,Day1,Month1,Year1,Day2,Month2,Year2
Battle of Cape Finisterre,,22/07/1805,22/07/1805,42.8941,-9.2711,845,British Victory,,22,7,1805,,,
Battle of Memmingen,,14/10/1805,14/10/1805,47.987778,10.181111,16,Unknown,,14,10,1805,,,
Battle of Elchingen,,14/10/1805,14/10/1805,48.4517,10.0978,6854,French Victory,,14,10,1805,,,
Battle of Trafalgar,,21/10/1805,21/10/1805,36.293,-6.255,8602,British Victory,,21,10,1805,,,
Battle of Ulm,,16/10/1805,19/10/1805,48.3833,9.9833,5500,French Victory,,16,10,1805,19,10,1805
Battle of Schangrabern,,16/11/1805,16/11/1805,48.6142,16.0197,2400,French Victory,,16,11,1805,,,
Battle of Durenstein,,11/11/1805,11/11/1805,48.387222,15.520278,10000,Coalition Victory,,11,11,1805,,,
Battle of Austerlitz,,02/12/1805,02/12/1805,49.133333,16.766667,24279,French Victory,,2,12,1805,,,
Battle of Campo Tenese,,09/03/1806,09/03/1806,39.85,16.133333,10,French Victory,,9,3,1806,,,
Battle of Maida,,04/07/1806,04/07/1806,38.85,16.3667,1687,British Victory,,4,7,1806,,,
Siege of Gaeta,,26/02/1806,18/07/1806,41.216667,13.566667,2000,French Victory,,26,2,1806,18,7,1806
Calabrian Revolt (see Battle of Campo Tenese),,09/03/1806,09/03/1806,39.85,16.133333,1000,French Victory,,9,3,1806,,,
Battle of Saalfeld,,10/10/1806,10/10/1806,50.65,11.3669,2000,French Victory,,10,10,1806,,,
Battle of Jena,,14/10/1806,14/10/1806,50.927222,11.586111,33000,French Victory,,14,10,1806,,,
Battle of Auerstedt,,14/10/1806,14/10/1806,51.099444,11.5875,22100,French Victory,,14,10,1806,,,
Battle of Lübeck,,06/11/1806,06/11/1806,53.869722,10.686389,18310,French Victory,,6,11,1806,,,
Siege of Stralsund,,24/07/1807,24/08/1807,54.309167,13.081944,998,French Victory,,24,7,1807,24,8,1807
Siege of Danzig,,19/03/1807,24/05/1807,54.366667,18.633333,9000,French Victory,,19,3,1807,24,5,1807
Battle of Czarnowo,,23/12/1806,23/12/1806,52.475278,20.773056,4840,French Victory,,23,12,1806,,,
Battle of Heilsberg,,10/06/1807,10/06/1807,54.1167,20.5833,21457,Inconclusive,,10,6,1807,,,
Battle of Pułtusk,,26/12/1806,26/12/1806,52.716667,21.1,12000,French victory,,26,12,1806,,,
Battle of Eylau,,07/02/1807,08/02/1807,54.4,20.633333,55643,Inconclusive,,7,2,1807,8,2,1807
Battle of Friedland,,14/06/1807,14/06/1807,54.45,21.016667,50000,French Victory,,14,6,1807,,,
